               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,             0.04401,            0.040454,            0.020439,             0.68594,             0.53842,             0.60698,             0.37553,            0.043256,             0.01951,            0.016315,            0.006469,            0.006469,            0.006469
                 109,            0.043627,            0.040065,            0.020236,             0.68231,             0.54115,             0.60772,             0.37595,            0.043237,            0.019503,            0.016292,            0.006436,            0.006436,            0.006436
                 110,            0.043499,            0.040368,            0.020032,             0.68452,             0.53905,             0.60754,             0.37627,            0.043215,            0.019496,            0.016274,            0.006403,            0.006403,            0.006403
                 111,            0.043695,             0.04038,            0.019909,             0.68516,             0.53882,             0.60823,             0.37673,            0.043196,            0.019491,            0.016259,             0.00637,             0.00637,             0.00637
                 112,            0.043579,            0.040365,            0.020133,             0.68961,             0.53829,             0.60901,             0.37736,            0.043177,            0.019485,            0.016247,            0.006337,            0.006337,            0.006337
                 113,            0.043625,            0.040106,            0.020295,             0.68893,             0.53905,             0.61012,             0.37801,            0.043155,            0.019479,             0.01623,            0.006304,            0.006304,            0.006304
                 114,            0.043648,            0.039921,            0.020205,             0.68817,             0.53978,             0.61031,             0.37862,            0.043136,            0.019471,            0.016209,            0.006271,            0.006271,            0.006271
                 115,            0.043382,            0.039994,            0.019825,             0.69036,             0.54039,             0.61062,              0.3791,            0.043117,            0.019465,            0.016196,            0.006238,            0.006238,            0.006238
                 116,            0.043589,            0.039882,            0.020052,             0.69038,             0.54044,             0.61087,             0.37952,            0.043099,            0.019459,            0.016182,            0.006205,            0.006205,            0.006205
                 117,            0.043485,            0.039794,            0.020083,             0.69045,             0.54078,             0.61143,             0.37971,             0.04308,            0.019452,            0.016168,            0.006172,            0.006172,            0.006172
                 118,            0.043445,            0.040124,             0.01986,             0.69205,             0.54107,             0.61188,             0.37999,            0.043063,            0.019445,            0.016154,            0.006139,            0.006139,            0.006139
                 119,            0.043338,            0.039778,            0.019681,             0.68252,             0.54571,             0.61245,             0.38056,            0.043048,             0.01944,             0.01614,            0.006106,            0.006106,            0.006106
                 120,            0.043469,            0.040168,            0.019666,              0.6877,             0.54446,             0.61306,             0.38066,            0.043034,            0.019434,            0.016122,            0.006073,            0.006073,            0.006073
                 121,            0.043404,            0.039926,            0.019751,             0.68464,             0.54702,             0.61372,             0.38117,             0.04302,            0.019427,            0.016105,             0.00604,             0.00604,             0.00604
                 122,            0.043242,            0.039664,            0.019863,             0.68524,             0.54792,             0.61408,             0.38162,            0.043006,            0.019421,            0.016093,            0.006007,            0.006007,            0.006007
                 123,            0.043463,            0.039935,             0.01964,             0.68682,             0.54871,             0.61459,             0.38189,            0.042989,            0.019414,            0.016076,            0.005974,            0.005974,            0.005974
                 124,            0.043384,            0.039709,            0.019763,             0.68874,             0.54861,             0.61525,             0.38239,            0.042972,            0.019406,            0.016058,            0.005941,            0.005941,            0.005941
                 125,            0.043065,            0.039936,            0.019606,             0.69103,             0.54822,             0.61597,             0.38302,            0.042954,            0.019399,            0.016042,            0.005908,            0.005908,            0.005908
                 126,            0.043196,            0.039779,            0.019568,             0.69108,             0.55062,             0.61681,             0.38406,            0.042933,            0.019391,            0.016022,            0.005875,            0.005875,            0.005875
                 127,            0.043134,             0.03962,            0.019547,             0.69074,              0.5523,             0.61741,             0.38447,            0.042912,            0.019381,            0.016002,            0.005842,            0.005842,            0.005842
                 128,            0.043129,            0.039832,            0.019246,              0.6936,             0.55121,              0.6176,             0.38489,            0.042892,            0.019374,            0.015983,            0.005809,            0.005809,            0.005809
                 129,            0.042903,            0.039735,            0.019345,             0.69377,             0.55221,             0.61833,             0.38576,            0.042872,            0.019366,            0.015961,            0.005776,            0.005776,            0.005776
                 130,            0.042884,            0.039826,             0.01905,             0.69424,             0.55274,             0.61912,             0.38623,            0.042854,            0.019359,            0.015941,            0.005743,            0.005743,            0.005743
                 131,            0.042989,            0.039467,            0.019511,             0.69607,             0.55152,             0.61974,             0.38669,            0.042836,            0.019352,            0.015923,             0.00571,             0.00571,             0.00571
                 132,            0.042965,            0.039457,            0.019249,             0.69504,             0.55253,             0.62003,             0.38707,            0.042819,            0.019345,            0.015905,            0.005677,            0.005677,            0.005677
                 133,            0.043131,            0.039584,            0.019384,             0.69702,             0.55284,             0.62119,             0.38762,            0.042801,            0.019337,            0.015883,            0.005644,            0.005644,            0.005644
                 134,            0.042839,            0.039748,            0.018887,             0.69896,             0.55393,             0.62179,             0.38816,            0.042783,            0.019329,             0.01586,            0.005611,            0.005611,            0.005611
                 135,            0.043184,            0.039999,            0.019505,             0.69826,             0.55427,             0.62172,             0.38846,            0.042768,            0.019323,            0.015841,            0.005578,            0.005578,            0.005578
                 136,            0.042883,            0.039667,            0.019011,             0.69899,             0.55393,             0.62223,             0.38909,            0.042752,            0.019317,            0.015827,            0.005545,            0.005545,            0.005545
                 137,            0.042907,             0.03969,            0.018941,             0.69951,             0.55514,             0.62322,             0.38968,            0.042735,            0.019311,            0.015815,            0.005512,            0.005512,            0.005512
                 138,            0.042916,            0.039491,            0.019337,             0.70111,             0.55417,             0.62411,             0.39029,            0.042721,            0.019305,            0.015798,            0.005479,            0.005479,            0.005479
                 139,            0.042703,            0.039554,            0.018962,             0.70378,             0.55371,             0.62508,             0.39097,            0.042704,            0.019298,            0.015783,            0.005446,            0.005446,            0.005446
                 140,            0.042876,            0.039464,            0.019194,             0.70312,             0.55448,              0.6249,             0.39138,            0.042696,            0.019292,            0.015766,            0.005413,            0.005413,            0.005413
                 141,            0.042962,            0.039572,            0.018834,             0.70241,             0.55406,             0.62474,             0.39203,            0.042685,            0.019286,            0.015749,             0.00538,             0.00538,             0.00538
                 142,            0.042754,            0.039377,            0.018789,             0.70154,             0.55562,             0.62552,             0.39229,             0.04267,             0.01928,            0.015727,            0.005347,            0.005347,            0.005347
                 143,            0.042775,            0.039592,            0.018951,             0.70118,             0.55668,             0.62657,             0.39296,            0.042655,            0.019274,            0.015697,            0.005314,            0.005314,            0.005314
                 144,            0.042662,            0.039667,            0.018552,              0.7009,             0.55722,              0.6269,             0.39342,            0.042638,            0.019267,            0.015677,            0.005281,            0.005281,            0.005281
                 145,            0.042549,            0.039298,            0.018742,             0.69915,             0.55913,             0.62763,             0.39422,            0.042626,            0.019259,            0.015654,            0.005248,            0.005248,            0.005248
                 146,            0.042563,            0.039278,             0.01878,              0.6998,              0.5589,             0.62795,             0.39467,            0.042611,            0.019253,            0.015635,            0.005215,            0.005215,            0.005215
                 147,            0.042697,            0.039649,            0.018781,             0.70144,             0.55762,             0.62814,             0.39555,            0.042596,            0.019246,            0.015618,            0.005182,            0.005182,            0.005182
                 148,            0.042394,             0.03898,            0.018473,             0.69832,             0.55979,             0.62878,             0.39587,            0.042582,            0.019238,            0.015599,            0.005149,            0.005149,            0.005149
                 149,            0.042649,            0.039285,            0.018734,             0.69986,             0.56012,              0.6296,             0.39645,            0.042567,            0.019231,            0.015577,            0.005116,            0.005116,            0.005116
                 150,            0.042738,            0.039522,            0.018668,             0.70052,             0.55937,             0.62989,              0.3968,            0.042549,            0.019224,            0.015555,            0.005083,            0.005083,            0.005083
                 151,            0.042726,            0.039392,            0.018757,             0.70007,             0.56088,              0.6306,             0.39749,            0.042535,            0.019217,            0.015534,             0.00505,             0.00505,             0.00505
                 152,            0.042757,            0.039439,            0.018508,              0.7006,             0.56286,             0.63122,             0.39784,            0.042518,            0.019209,            0.015514,            0.005017,            0.005017,            0.005017
                 153,            0.042357,            0.038993,            0.018598,             0.70173,             0.56291,             0.63168,             0.39825,            0.042498,            0.019201,            0.015495,            0.004984,            0.004984,            0.004984
                 154,            0.042297,            0.039324,            0.018324,             0.70207,             0.56244,             0.63199,              0.3988,            0.042481,            0.019194,            0.015474,            0.004951,            0.004951,            0.004951
                 155,            0.042534,            0.039284,            0.018324,             0.70315,             0.56284,             0.63234,             0.39925,            0.042468,            0.019186,            0.015453,            0.004918,            0.004918,            0.004918
                 156,            0.042074,            0.039235,            0.018573,             0.70273,             0.56263,             0.63254,              0.3998,            0.042453,            0.019181,            0.015442,            0.004885,            0.004885,            0.004885
                 157,              0.0422,            0.038582,            0.018264,             0.70343,             0.56375,             0.63309,             0.40009,            0.042438,            0.019175,            0.015426,            0.004852,            0.004852,            0.004852
                 158,             0.04236,            0.039221,             0.01829,             0.70438,             0.56444,              0.6339,             0.40091,            0.042423,            0.019168,            0.015414,            0.004819,            0.004819,            0.004819
                 159,            0.042372,            0.039105,            0.018269,             0.70536,             0.56424,             0.63445,             0.40126,            0.042406,            0.019161,            0.015398,            0.004786,            0.004786,            0.004786
